message
Invalid pattern '\u{1D306}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?x)
        declare_clippy_lint!\s*[\{(]\s*
        pub\s+(?P<name>[A-Z_][A-Z_0-9]*)\s*,\s*
        (?P<cat>[a-z_]+)\s*,\s*
        ""(?P<desc>(?:[^""\\]+|\\(?s).(?-s))*)""\s*[})]
    ' at offset 62. Unrecognized grouping construct."
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Cc]eannann)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(c\x{e9}anna)<\/[A-DF-Z]>' at offset 75. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'function([^\(]*)\(([^\(\)]*?)\)[^\{]*\{([^]*)\}' at offset 47. Unterminated [] set.
Object reference not set to an instance of an object.
Invalid pattern '{([^{}]|' at offset 8. Not enough )'s.
"Invalid pattern '<a[^>]*href=""(?P<URL>[^""]*)""[^>]*>(?P<LinkText>[^<]*)</a>' at offset 16. Unrecognized grouping construct."
Invalid pattern '\b \Q$Waft::JS::Name\E \. ' at offset 5. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '\b(?:[AL]?GPL)-\d\K\.0(?![.\d])' at offset 19. Unrecognized escape sequence \\K.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<text> *)$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern '(?P<ip_address>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) - (-|(\w+)) \[(?P<day>\d{2})/(?P<month>[a-z]{3})/(?P<year>\d{4}):(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2}) (?P<timezone>([+-])\d{4})\] ""(?P<request>[^""]*?)"" (?P<status_code>\d{3}) (?P<bytes_sent>\d+) ""(?P<referrer>(-)|(.+))?"" ""(?P<user_agent>.+)?""' at offset 3. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '(?P<val_1>\S+)\s+(?P<val_2>\S+)\s+(?P<val_3>\S+)\s+(?P<val_4>\S+)\s+(?P<val_5>\S+)\s+(?P<val_6>\S+)\s+(?P<val_7>\S+)\s+(?P<val_8>\S+)' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
"Invalid pattern '?(?|?|?)' at offset 1. Quantifier {x,y} following nothing."
Object reference not set to an instance of an object.
"Invalid pattern '(?x) (?: (?= \s )  (?:(?<=else|new|return) | (?<!\w)) (\s+))?
      (\b
        (?!(while|for|do|if|else|switch|catch|enumerate|return|r?iterate)\s*\()(?:(?!NS)[A-Za-z_][A-Za-z0-9_]*+\b | :: )++                  # actual name
      )
       \s*(\()' at offset 183. Nested quantifier '+'."
Invalid pattern '[\p{Blank}]+$' at offset 10. Unknown property 'Blank'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<F>[Ss]h?ol\x{e1}thraigh<\/F>)(?![<>])' at offset 24. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '\d\\\C-C\w' at offset 6. Unrecognized escape sequence \\C.
"Invalid pattern 'card (?P<card>\d+)[:].*?[[](?P<description>.*?)[]], device (?P<device>\d+)[:].*?[[](?P<device_description>.*?)[]]' at offset 8. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?u:\\#)' at offset 4. Unrecognized grouping construct.
Invalid pattern '[\p{Alpha}]+://.+' at offset 10. Unknown property 'Alpha'.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$ref_type\E\=([A-Z]+)\(0x[0-9a-f]+\)$' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(((' at offset 3. Not enough )'s.
Invalid pattern '^Counters: (?P<num_counters>\d+)\s*$' at offset 14. Unrecognized grouping construct.
Invalid pattern '^\Q$_\E\s+(\d+(?:\.\d+)?)' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '_EMO_([^_]+?)_([^]*?)_EMO_' at offset 26. Unterminated [] set.
"Invalid pattern '\Q$alta{'q_pre'}\E([^\""]*)\Q$alta{'q_pst'}\E' at offset 2. Unrecognized escape sequence \\Q."
Invalid pattern '(?<!second|\d|' at offset 14. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '()<B><Z>(?:<[^>]+>)+<\/Z>([Aa]t\x{e1})<\/B>()' at offset 34. Insufficient hexadecimal digits.
Invalid pattern '^\Q$distdir\E(?:/|$)' at offset 3. Unrecognized escape sequence \\Q.
"Invalid pattern '(<E[^>]*><U>[Nn]\x{ed}<\/U> <V cop=""y"">ba<\/V><\/E>)' at offset 19. Insufficient hexadecimal digits."
Invalid pattern '(?<=\s{3}min-links\s)(?P<value>.+)$' at offset 24. Unrecognized grouping construct.
Invalid pattern '^https?:\/\/([0-9a-z\_\.\-:]+)\/' at offset 22. Unrecognized escape sequence \\_.
Invalid pattern '^(?:table(_?' at offset 12. Not enough )'s.
"Invalid pattern '<meta\shttp-equiv=""content-language""\scontent=""(?P<language>\S+)""\s\/>' at offset 50. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '^\s*Bundle\s*(' at offset 14. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '\/([\w\.\-\_]+)$' at offset 12. Unrecognized escape sequence \\_.
Invalid pattern '^[a-z]*://[^/]+\.(?!(?:' at offset 23. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern ''(?P<title>[^']+)'\s+\((?P<year>\d{4})?\)' at offset 4. Unrecognized grouping construct.
Invalid pattern '\$:\Q$i\E' at offset 5. Unrecognized escape sequence \\Q.
"Invalid pattern '
[ ]*
  POINT [ ]+ (?P<pointnr>\d+) [ ]+ (?P<a>\S+) [ ]+ (?P<b>\S+) [ ]+ (?P<c>\S+)
' at offset 22. Unrecognized grouping construct."
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<S>[Aa]r<\/S> <N pl=""n"" gnt=""n"" gnd=""m"">[Mm]hear\x{fa}<\/N>)(?![<>])' at offset 61. Insufficient hexadecimal digits."
Invalid pattern '[\p{Space}]+' at offset 10. Unknown property 'Space'.
Object reference not set to an instance of an object.
"Invalid pattern '(<[A-DF-Z][^>]*>[Nn]\x{ed}<\/[A-DF-Z]> <E[^>]*><A pl=""n"" gnt=""n"" h=""y"">hionann<\/A><\/E>)' at offset 23. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern ' \G (\w|_\p{IsAlpha}+) ([0-9]+)? (r)? ([.\-+,\/_=]*)? } ' at offset 20. Unknown property 'IsAlpha'."
Invalid pattern '\A\_(\w+)' at offset 4. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<vfdb_id>V\S+\)) \((?P<name>\S+)\) (?P<description>.*\]) \[(?P<genus_etc>.*)\]$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '^[\c%]*$' at offset 5. Unrecognized control character.
"Invalid pattern '['""\\\x0]' at offset 9. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '(?:X|binary)'(?:\p{XDigit}{2})*'' at offset 26. Unknown property 'XDigit'.
Invalid pattern '(const)(\s+)(' at offset 13. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\s*\[(?P<array>.*)' at offset 9. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?Us)CMGR: ""([A-Z ]*)"",""([+\d]*)"",,""([0-9/,:\+]*)""\r\n(.*)\r\n\r\nOK' at offset 3. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '/\*\s*\Q]]>\E\s*\*/$' at offset 8. Unrecognized escape sequence \\Q.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Hh]\x{fa}m)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(n\x{e1})<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(h\x{e1}m)<\/[A-DF-Z]>' at offset 30. Insufficient hexadecimal digits.
"Invalid pattern '(?<![<>])(<C>[Dd]\x{e1}<\/C> (?:<V[^>]*t=""...[^n][^>]*>[^<]+<\/V>))(?![<>])' at offset 20. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '^\Q$tag_prefix\E(?<tag>.*)' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern '(<E[^>]*>(?:<N[^>]*>[Mm]ara<\/N>) (?:<V[^>]*>at\x{e1}(?:i[dm]|imid|thar)?<\/V>)<\/E>)' at offset 50. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<C>[Gg]ur<\/C> (?:<V[^>]*(?: p=.y|t=..[^a])[^>]*>(?:[BbCcDdFfGgMmPpTt][^Hh']|[Ss][lnraeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]|bh[Ff])[^<]*<\/V>))(?![<>])' at offset 103. Insufficient hexadecimal digits.
Invalid pattern '-l\Q$js_libname\E\b' at offset 4. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^[A-Z0-9|]{21}+$' at offset 15. Nested quantifier '+'.
Object reference not set to an instance of an object.
Invalid pattern '^Resource id #(?P<id>\d+)$' at offset 17. Unrecognized grouping construct.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Aa]r)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(si\x{fa}l)<\/[A-DF-Z]>' at offset 70. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '\p{Script=Cypriot}+' at offset 10. Incomplete \\p{X} character escape.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(\x{103a}|\x{107d})' at offset 4. Insufficient hexadecimal digits.
Invalid pattern '^\Q$key1\E \Q$key2\E' at offset 3. Unrecognized escape sequence \\Q.
"Invalid pattern '^\s*([\""\'\[]?|[\*\#\']*\s*)[\Â¿\Â¡\p{Lu}l]' at offset 31. Unrecognized escape sequence \\Â."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[\u{11EE0}-\u{11EF8}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^[ \t\*]*+([^\s@].*)' at offset 10. Nested quantifier '+'.
Invalid pattern '^(?P<fqdn>(?:https?://)?[^/]+)' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'https?://(?:www.)?example\.com/(?P<id>.*?)(?:\.html)' at offset 34. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '(\Q$star\E.*\Q$end\E)' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern ''steam://friends/joinchat/(?P<steamid>\d+)'' at offset 29. Unrecognized grouping construct.
Invalid pattern '[^АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдеёжзийклмнопрстуфхцчшщъыьэюя\x{2010}-]' at offset 71. Insufficient hexadecimal digits.
Invalid pattern '\W(\$\p{Alpha}\p{Alnum}*)\b' at offset 14. Unknown property 'Alpha'.
Object reference not set to an instance of an object.
Invalid pattern '\u{00}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<prefix>RIFLGFC)(?P<unit>[YM])(?P<periods>[0-9]{2})(?P<suffix>_N.B)$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?P<repoPath>.*)/objects/[0-9a-f]{2}/[0-9a-f]{38}$' at offset 3. Unrecognized grouping construct.
"Invalid pattern '(<E[^>]*>(?:<N[^>]*pl=""n"" gnt=""n"" gnd=""f""[^>]*>(?:mh?\x{e9}ar|h?ord\x{f3}g)<\/N>) (?:<N[^>]*gnt=""y""[^>]*>(?:coise|gliomaigh|port\x{e1}in)<\/N>)<\/E>)' at offset 56. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^MSG\s+(?P<subject>[^\s
]+)\s+(?P<sid>[^\s
]+)\s+(?P<reply>([^\s
]+)[^\S
]+)?(?P<size>\d+)
' at offset 10. Unrecognized grouping construct."
Invalid pattern '^\Q$path\E$' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^ \Q$opts->{_recursion}{_base}\E (.+) ' at offset 4. Unrecognized escape sequence \\Q.
"Invalid pattern '\\(x\h{2}|[0-2][0-7]{,2}|3[0-6][0-7]?|37[0-7]?|[4-7][0-7]?|.)' at offset 6. Unrecognized escape sequence \\h."
Invalid pattern '(?<=^|' at offset 6. Not enough )'s.
Invalid pattern '.*console.cloud.google.com/dataflow.*/jobs/([a-z|0-9|A-Z|\-|\_]+).*' at offset 62. Unrecognized escape sequence \\_.
Invalid pattern '(?P<major>\d+)\.(?P<minor>\d+)\.\d+\.\d+' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '&(' at offset 2. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '* First integer indicates how much room we have *' at offset 1. Quantifier {x,y} following nothing."
Invalid pattern '^((?!' at offset 5. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[`\>\#\*\_\-\+]' at offset 10. Unrecognized escape sequence \\_.
Invalid pattern '(\/\/ --- START parser kernel ---)[^]+?(\/\/ --- END( of)? parser kernel ---)' at offset 77. Unterminated [] set.
"Invalid pattern '(\n|(\n\r)|(\r\n)){2,}+|'\u2029+' at offset 23. Nested quantifier '+'."
Invalid pattern '(?:.|(\\(?:[0-7]{3}|x\h\h|u\h\h\h\h))|(\\c[A-Z])|(\\.))\-(?:[^\]\\]|(\\(?:[0-7]{3}|x\h\h|u\h\h\h\h))|(\\c[A-Z])|(\\.))' at offset 23. Unrecognized escape sequence \\h.
Object reference not set to an instance of an object.
Invalid pattern '^((?&FILTER))$GRAMMAR$' at offset 5. Unrecognized grouping construct.
Invalid pattern '^\Q$ra->{repos_root}\E(/|$)' at offset 3. Unrecognized escape sequence \\Q.
"Invalid pattern '
      \A
      foo_bar /
      \h{8}    # 8 hex chars
      (?: - \h{4} ){3}  # 3 groups of 4 hex chars (hyphen sep)
      - \h{12}  # 12 hex chars (hyphen sep again)
      \Z
    ' at offset 34. Unrecognized escape sequence \\h."
"Invalid pattern '(<E[^>]*>(?:<N[^>]*pl=""n"" gnt=""n"" gnd=""f""[^>]*>[^<]+<\/N>) <N pl=""n"" gnt=""y"" gnd=""m"">(?:[CcDdFfGgMmPpSsTt][Hh]|[Bb]h[^fF])[^<]+<\/N> <A pl=""n"" gnt=""y"" gnd=""m"">(?:[^<]+th?[ae]|c\x{e9}ad|cib\x{e9}|cos\x{fa}il|deich|dh\x{e1}|[Gg]ach|seacht|[Ss]eo|[Ss]in|tr\x{ed}|\x{fa}d|uile|[^<]+ [^<]+)<\/A><\/E>)' at offset 179. Insufficient hexadecimal digits."
Invalid pattern '@media\b[^{]*({((?:[^{}]+|(?1))*)})' at offset 29. Unrecognized grouping construct.
Invalid pattern '^([^$self->{dlm}]+)$self->{dlm}(.+)$' at offset 11. [x-y] range in reverse order.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^[^\ï¼]+å°å²' at offset 5. Unrecognized escape sequence \\ï.
Object reference not set to an instance of an object.
Invalid pattern 'WindVane[\/\s]([\d\.\_]+)' at offset 22. Unrecognized escape sequence \\_.
Invalid pattern '^[\w' at offset 4. Unterminated [] set.
Invalid pattern '\x{1032}\x{1032}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '^[A-Za-z\w\d\-\_]+$' at offset 16. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Gg]o)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(l\x{e9}ir)<\/[A-DF-Z]>' at offset 69. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$abs_base_path\E' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
